Algorithm,Entropy,Hamming_Weight,Repeated,Size_Ratio,Encryption_Time_per_Byte,Decryption_Time_per_Byte
AES-ECB,5.545164425897249,0.4999049307366474,0,1.0000015258789061,8.819370123092084e-07,1.026205609377939e-06
ChaCha20,5.545165416365013,0.5000752568244934,0,0.9999999999999998,6.21616891294252e-07,5.740048436564392e-07
RSA,5.54516697281287,0.4999397489479334,0,1.3473876953124997,0.00020173361008346544,0.0017573100649315163
Blowfish,5.545165838795243,0.5000113368034362,0,0.9999999999999998,8.669167073094284e-06,8.038409760047214e-06
AES-CBC,5.545164733282449,0.4999576330184936,0,0.9999999999999998,1.5186742530204354e-06,1.440344021830242e-06
AES-ECB,5.545164594680516,0.4999658823533899,0,1.0000015258789061,4.91536411573179e-07,1.1557858670130368e-06
ChaCha20,5.545165616460829,0.4999686002731323,0,0.9999999999999998,7.03994373907335e-07,6.65090738038998e-07
RSA,5.545161993527146,0.4997121574555165,0,1.3473876953124997,0.00018588191323942735,0.001655332857808389
Blowfish,5.545164814237841,0.4999606847763062,0,0.9999999999999998,9.047789717442354e-06,8.657480066176502e-06
AES-CBC,5.545165857126555,0.4999489903450012,0,0.9999999999999998,1.7705815480439922e-06,1.6028025129344312e-06
AES-ECB,5.545165430757541,0.5000507353962167,0,1.0000015258789061,5.737547326134517e-07,8.146344043780117e-07
ChaCha20,5.545166020589103,0.4999877333641052,0,0.9999999999999998,2.2061385607230473e-06,1.0606299838400444e-06
RSA,5.545168190148329,0.4997740364361557,0,1.3473876953124997,0.00022253423139773074,0.0015716316738689782
Blowfish,5.545165933667005,0.500060498714447,0,0.9999999999999998,9.143400347966235e-06,8.089068614935966e-06
AES-CBC,5.5451654858376624,0.500043249130249,0,0.9999999999999998,1.634589352761395e-06,1.3962790035293435e-06
AES-ECB,5.545164106998758,0.5000105857687596,0,1.0000015258789061,4.772346073877997e-07,9.629502528696317e-07
ChaCha20,5.545166172325018,0.5000269412994385,0,0.9999999999999998,5.724587026634253e-07,6.229356586118228e-07
RSA,5.545166776012699,0.4998686332421316,0,1.3473876953124997,0.00021101595848449503,0.0015737872672616502
Blowfish,5.545165207179577,0.5000290870666504,0,0.9999999999999998,8.635993253847117e-06,8.148958841047714e-06
AES-CBC,5.545165628741102,0.4999951243400574,0,0.9999999999999998,1.5939576769596895e-06,1.443027031200472e-06
AES-ECB,5.545166568732096,0.499994361409208,0,1.0000015258789061,5.26574694958981e-07,8.629740477772429e-07
ChaCha20,5.545166616972388,0.4999419450759887,0,0.9999999999999998,6.579966793651692e-07,6.919208317412994e-07
RSA,5.545164476202721,0.4997271980999384,0,1.3473876953124997,0.00021758212369604727,0.0016873031881914355
Blowfish,5.545166746638882,0.4999468564987183,0,0.9999999999999998,9.096447683987206e-06,8.193023859348612e-06
AES-CBC,5.545166563963917,0.4999538064002991,0,0.9999999999999998,1.7037791621987706e-06,1.6330659491359254e-06
AES-ECB,5.545164450134852,0.5000393628473467,0,1.0000015258789061,6.430809662560931e-07,1.4102397472015582e-06
ChaCha20,5.545165189527892,0.4999634623527527,0,0.9999999999999998,1.850025910243858e-06,5.944002623436971e-07
RSA,5.54516599936965,0.4998297664474578,0,1.3473876953124997,0.00019032213458558542,0.001671440782047284
Blowfish,5.545166424093202,0.5000092148780823,0,0.9999999999999998,8.887923286238218e-06,7.962398740346542e-06
AES-CBC,5.424486208875294,0.5040283203125,1,0.9999999999990234,0.0,0.0
AES-ECB,2.852075725442819,0.4469951923076923,1,1.0156249999990081,0.0,0.0
ChaCha20,5.40398051639923,0.501953125,1,0.9999999999990234,0.0,0.0
RSA,5.459744833635259,0.4982096354166667,1,1.4999999999985352,0.0010677613317956033,0.0009646173566570399
Blowfish,5.406510533924852,0.500244140625,1,0.9999999999990234,0.0,0.0
AES-CBC,5.386629945622016,0.49951171875,1,0.9999999999990234,0.0,0.0
AES-ECB,2.852075725442819,0.5150240384615384,1,1.0156249999990081,0.0,0.0
ChaCha20,5.423555260748124,0.4925537109375,1,0.9999999999990234,0.0,0.0
RSA,5.464283489825313,0.5054524739583334,1,1.4999999999985352,0.0008884817361822987,0.0020249281078557266
Blowfish,5.423235758703985,0.498046875,1,0.9999999999990234,0.0,0.0
AES-CBC,5.399994102629004,0.499755859375,1,0.9999999999990234,0.0,0.0
AES-ECB,2.8408068746952075,0.5069711538461539,1,1.0156249999990081,0.0,0.0
ChaCha20,5.428315236137003,0.5013427734375,1,0.9999999999990234,0.0,0.0
RSA,5.45032725174644,0.502197265625,1,1.4999999999985352,0.0,0.0025383196771120078
Blowfish,5.4146741578670605,0.5008544921875,1,0.9999999999990234,0.0,0.0
AES-CBC,5.4199033496952325,0.5072021484375,1,0.9999999999990234,0.0,0.0
AES-ECB,2.760464390172635,0.4770432692307692,1,1.0156249999990081,0.0,0.0
ChaCha20,5.400324040365764,0.4996337890625,1,0.9999999999990234,0.0,0.0
RSA,5.451229654596352,0.4940592447916667,1,1.4999999999985352,0.0,0.0023848842829442577
Blowfish,5.405177708271882,0.5101318359375,1,0.9999999999990234,0.0,0.0
AES-CBC,5.423003965924989,0.4923095703125,1,0.9999999999990234,0.0,0.0
AES-ECB,2.755496452472445,0.4986778846153846,1,1.0156249999990081,0.0,0.0
ChaCha20,5.409702405274871,0.4962158203125,1,0.9999999999990234,0.0,0.0
RSA,5.450939563953567,0.50341796875,1,1.4999999999985352,0.0,0.0018717255443316302
Blowfish,5.405509430585775,0.4989013671875,1,0.9999999999990234,0.0,0.0
AES-CBC,5.435282220734277,0.497802734375,1,0.9999999999990234,0.0,0.0
AES-ECB,2.847107787742628,0.5614182692307692,1,1.0156249999990081,0.0,0.0
ChaCha20,5.414593042139298,0.5015869140625,1,0.9999999999990234,0.0,0.0
RSA,5.468101399981174,0.4981282552083333,1,1.4999999999985352,0.0,0.0019760336726884617
Blowfish,5.414231911238108,0.4970703125,1,0.9999999999990234,0.0,0.0
AES-CBC,5.4122264360259535,0.4951171875,1,0.9999999999990234,0.0,0.0
AES-ECB,2.8412727631385475,0.5227163461538461,1,1.0156249999990081,0.0,0.0
ChaCha20,5.402639894722057,0.48828125,1,0.9999999999990234,0.0,0.0
RSA,5.46103676220725,0.5000813802083334,1,1.4999999999985352,0.0,0.0026177149265978997
Blowfish,5.395479513791591,0.498291015625,1,0.9999999999990234,0.0,0.0
AES-CBC,5.5314415324112485,0.49991455078125,1,0.9999999999999023,0.0,0.0
AES-ECB,2.782047349111269,0.429760627925117,1,1.0015624999999022,0.0,0.0
ChaCha20,5.534042104526506,0.5002197265625,1,0.9999999999999023,0.0,0.0
RSA,5.536927768867885,0.4994574652777778,1,1.3499999999998682,0.00025329645723102,0.001903413794934564
Blowfish,5.532295359801509,0.499267578125,1,0.9999999999999023,0.0,0.0
AES-CBC,5.533388845783865,0.49913330078125,1,0.9999999999999023,0.0,0.0
AES-ECB,2.6969944695272057,0.507763748049922,1,1.0015624999999022,0.0,0.0
ChaCha20,5.534160984414271,0.500390625,1,0.9999999999999023,0.0,0.0
RSA,5.5339493030121645,0.4998101128472222,1,1.3499999999998682,0.0001954147592186737,0.0017450889572499478
Blowfish,5.531584584007063,0.4979736328125,1,0.9999999999999023,0.0,0.0
AES-CBC,5.532872276133345,0.499267578125,1,0.9999999999999023,0.0,0.0
AES-ECB,2.7827750996068628,0.437646255850234,1,1.0015624999999022,0.0,0.0
ChaCha20,5.53348699068828,0.4987060546875,1,0.9999999999999023,0.0,0.0
RSA,5.535070591861583,0.4993941695601852,1,1.3499999999998682,0.00019590370357034677,0.0015935627743600242
Blowfish,5.534514674358558,0.49803466796875,1,0.9999999999999023,0.0,0.0
AES-CBC,5.530054173858302,0.4973388671875,1,0.9999999999999023,0.0,0.0
AES-ECB,2.6969944695272057,0.4922728159126365,1,1.0015624999999022,0.0,0.0
ChaCha20,5.532047502833494,0.50174560546875,1,0.9999999999999023,0.0,0.0
RSA,5.536105905161941,0.5028573495370371,1,1.3499999999998682,0.00025643967092034696,0.0015896512195466396
Blowfish,5.532135894577694,0.50023193359375,1,0.9999999999999023,0.0,0.0
AES-CBC,5.532983194333096,0.501953125,1,0.9999999999999023,0.0,0.0
AES-ECB,2.784230296373588,0.554614372074883,1,1.0015624999999022,0.0,9.802170097826952e-05
ChaCha20,5.532750245025735,0.50216064453125,1,0.9999999999999023,0.0,0.0
RSA,5.535879420879202,0.5021158854166666,1,1.3499999999998682,0.0001961365342140006,0.0015771249309180625
Blowfish,5.532974443809001,0.50015869140625,1,0.9999999999999023,0.0,0.0
AES-CBC,5.532799014142094,0.501220703125,1,0.9999999999999023,0.0,0.0
AES-ECB,2.7827750996068628,0.5546021840873635,1,1.0015624999999022,0.0,0.0
